season,vcaseid,no,outtrip_no,vq21,vq21a,vq22,vq22_1,vq23_1,vq23_2,vq23_3,vq23_4,vq23_5,vq23_6,vq23_7,vq23_8,vq23_9,vq23_10,vq24,vq25a,vq25a1_1,vq25a1_2,vq25b,vq26,vq26a_1,vq26a_2,vq26a_3,vq26a_4,vq26a_5,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq29,vq29a,vq29b,vq29b1_1,vq29b1_2,vq29b1_3,vq29b1_4,vq29b1_5,vq29c,vq29d,vq29e,vq29e1_1,vq29e1_2,vq29e1_3,vq29e1_4,vq29e1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
3,96206868,13703,1830,10,9,1,1,29, , , , , , , , , ,1,3, ,2,8,3,1,4, , , ,1,2,4,6, , ,2, , , , ,15,1,1, , , , , ,12,8,4, ,4, , , ,3,4,6,1,8,11,1,1.953088
3,98216823,17208,2308,5,4,1,1,12, , , , , , , , , ,1,2, , ,4,1,2, , , , ,2, , , , , ,2, , , , ,13,10,1, , , , , ,11,9,4, ,4, , , ,11,4,13,2,8,6,1,.393774
3,96244469,14520,1940,5,4,1,1,2, , , , , , , , , ,1,3, ,2,3,2,4,6, , , ,2, , , , , ,2, , , , ,22,3,1, , , , , ,1,10,3, ,4, , , ,10,1,10,2,5,6,2,.347686
3,96101762,12129,1574,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2, , , , ,8,0,5,2,3, , , ,7,1,3, ,4, , , ,5,5,5,2,5,3,2,1.434764
3,98208846,16724,2234,16,15,1,1,9, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,6,7, , ,2, , , , ,6,0,3,1,2,3,4,5,11,4,3, ,4, , , ,4,3,6,2,7,4,2,1.138143
3,98220450,17424,2335,5,4,1,1,4, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,2, , , , , ,2, , , , ,11,10,1, , , , , ,9,1,3, ,4, , , ,10,5,4,2,10,14,1,.438349
3,98219793,17375,2328,3,2,1,2,13, , , , , , , , , ,3, , , , ,4, , , , , ,1,2, , , , ,2, , , , ,5,0,5,4, , , , ,3,7,3, ,4, , , ,6,6,11,2,1,4,2,.790625
3,98220642,17433,2340,6,5,1,2,9, , , , , , , , , ,1,3, ,2,7,1,4, , , , ,2, , , , , ,2, , , , ,7,6,1, , , , , ,4,5,2, ,4, , , ,11,1,13,2,3,13,1,.525042
2,96164959,7691,981,5,4,2, ,12, , , , , , , , , ,1,3, ,2,7,1,6, , , , ,2, , , , , ,2, , , , ,11,8,4,1,2, , , ,9,4,7,2,3, , , ,10,3,13,2,5,3,2,.383189
4,96249533,20345,2741,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,1,1,2,3, , ,2, , , , , ,2, , , , ,10,9,7,5, , , , ,9,11,4,2,3, , , ,9,4,4,2,9,20,1,.466599
3,96170483,13429,1785,8,7,1,1,13, , , , , , , , , ,1,3, ,1,11,4, , , , , ,1,2,3,4,6, ,2, , , , ,10,0,13,1,2,5, , ,10,6,7, ,3, , , ,3,5,14,1,4,1,2,2.561736
3,98207184,16633,2227,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,1,4,6, , , ,2, , , , , ,2, , , , ,10,7,6,2,5, , , ,88,6,7, ,3, , , ,7,3,9,2,9,6,1,.801748
3,96231641,14235,1908,10,9,1,1,29, , , , , , , , , ,1,3, ,2,3,1,2,3,4, , ,2, , , , , ,2, , , , ,16,15,1, , , , , ,11,8,6, ,3, , , ,10,5,13,2,8,13,1,.430305
3,98212489,16940,2263,5,4,1,2,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,6,7, ,2, , , , ,6,0,1, , , , , ,9,8,6, ,3, , , ,5,5,5,1,8,4,2,.895814
3,96129653,12700,1674,7,6,1,2,12, , , , , , , , , ,1,3, ,2,5,4, , , , , ,1,1,2,3,4,6,2, , , , ,10,0,1, , , , , ,9,5,5, ,3, , , ,5,5,6,2,8,10,2,1.313965
3,96108100,12272,1601,10,9,1,1,18,19,20, , , , , , , ,1,3, ,2,7,1,1,2,3, , ,2, , , , , ,2, , , , ,16,15,1, , , , , ,9,8,4, ,3, , , ,9,3,11,2,5,7,2,.382296
3,96100065,12089,1568,5,4,1,2,12, , , , , , , , , ,1,3, ,2,4,2,3,4, , , ,1,3,6, , , ,2, , , , ,12,5,1, , , , , ,9,7,4, ,3, , , ,6,5,11,2,7,1,2,.632236
3,96232648,14261,1910,7,6,1,1,12, , , , , , , , , ,2, , , , ,4, , , , , ,2, , , , , ,2, , , , ,12,0,5,4, , , , ,11,7,4, ,3, , , ,10,6,13,2,6,19,1,.581291
3,96236041,14349,1916,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2, , , , ,11,0,1, , , , , ,88,88,14, ,2, , , ,11,6,13,2,8,8,1,.590953
3,98100997,14851,1981,6,5,1,2,9, , , , , , , , , ,1,3, ,2,3,1,2, , , , ,2, , , , , ,2, , , , ,9,6,1, , , , , ,1,1,8, ,2, , , ,10,6,13,2,6,2,1,.672789
3,96100830,12102,1570,8,7,1,2,2, , , , , , , , , ,1,3, ,2,3,2,6, , , , ,2, , , , , ,2, , , , ,10,7,1, , , , , ,1,6,7, ,2, , , ,10,5,13,2,8,1,1,.63876
3,96246010,14552,1946,5,4,1,1,4, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2, , , , ,5,0,3,3, , , , ,1,7,5, ,2, , , ,6,5,6,2,7,19,2,.575354
3,98110810,15384,2054,7,6,1,1,2, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,6, ,2, , , , ,5,0,1, , , , , ,9,1,4, ,2, , , ,6,5,4,2,8,2,1,1.56459
3,96223266,14055,1880,5,4,1,2,2, , , , , , , , , ,3, , , , ,4, , , , , ,2, , , , , ,2, , , , ,2,0,1, , , , , ,4,4,3, ,2, , , ,10,2,8,2,3,6,1,.429214
2,96173797,7858,1009,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2, , , , ,8,0,1, , , , , ,9,10,16,65, , , , ,6,6,1,2,7,4,1,1.442543
2,96238485,8999,1156,14,13,1,2,30, , , , , , , , , ,1,2, , ,3,4, , , , , ,1,2, , , , ,2, , , , ,22,0,11,1,5, , , ,11,14,14,65, , , , ,8,6,6,2,10,8,2,.621162
2,97218556,11586,1494,5,4,1,2,13, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,6, ,2, , , , ,6,0,4,1, , , , ,7,12,10,65, , , , ,8,3,9,2,6,6,2,.548113
3,96202759,13610,1816,6,5,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,4,6,7, ,2, , , , ,10,0,1, , , , , ,1,13,9,65, , , , ,6,6,1,2,8,21,1,1.571744
3,98201029,16324,2181,5,4,1,1,9, , , , , , , , , ,1,1,5, ,2,1,2,6, , , ,2, , , , , ,2, , , , ,11,10,10,4, , , , ,11,11,8,65, , , , ,6,4,6,2,10,5,1,.963352
1,96239354,1631,652,5,4,1,1,13, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2, , , , ,8,0,8,2, , , , ,9,88,5,65, , , , ,5,4,5,2,6,5,2,.865868
1,96214455,2691,510,30,29,1,1,62, , , , , , , , , ,1,3, ,2,11,4, , , , , ,1,3,4,5,6, ,2, , , , ,22,0,12,1, , , , ,11,1,10,4, , , , ,9,6,13,2,10,19,1,1.091062
2,97200594,10670,1381,8,7,1,1,12, , , , , , , , , ,1,3, ,2,3,3,6, , , , ,2, , , , , ,2, , , , ,16,10,1, , , , , ,1,1,10,4, , , , ,7,4,5,2,7,4,2,.697634
2,97200594,10670,1380,10,9,1,1,14, , , , , , , , , ,2, , , , ,3,6, , , , ,2, , , , , ,2, , , , ,88,88,1, , , , , ,1,1,10,4, , , , ,7,4,5,2,7,4,2,.641336
2,96151891,7401,945,3,2,2, ,12, , , , , , , , , ,1,2, , ,8,1,6, , , , ,2, , , , , ,2, , , , ,5,3,1, , , , , ,9,7,9,4, , , , ,7,4,6,2,7,1,1,1.570762
1,96157040,5245,328,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,3,6, , , , ,2, , , , , ,2, , , , ,11,4,9,4, , , , ,9,4,9,4, , , , ,11,3,13,2,7,1,2,.431053
4,99212282,22804,3078,7,6,1,1,5, , , , , , , , , ,1,3, ,2,11,4, , , , , ,1,2, , , , ,2, , , , ,11,0,1, , , , , ,12,8,8,4, , , , ,10,5,13,4,10,4,1,.475794
1,96135857,4328,223,31,30,1,2,18,19,20,21,22,62, , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4, , ,2, , , , ,22,0,14,2,3,5, , ,12,1,7,4, , , , ,9,4,13,2,9,3,2,.772573
3,98214903,17088,2285,14,13,1,1,12,13, , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4, , , ,2, , , , ,15,0,1, , , , , ,12,1,7,4, , , , ,8,5,13,2,10,4,2,.519976
2,96137526,7040,887,9,8,1,2,18, , , , , , , , , ,1,3, ,2,3,1,6, , , , ,2, , , , , ,2, , , , ,21,18,1, , , , , ,10,4,7,4, , , , ,11,3,13,3,5,2,2,.533103
1,96176919,2115,431,9,8,1,1,12, , , , , , , , , ,1,1,2, ,9,4, , , , , ,1,2,4, , , ,2, , , , ,18,0,1, , , , , ,8,7,6,4, , , , ,7,5,3,1,8,4,2,.690931
4,96149085,18967,2558,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,6, ,2, , , , ,10,0,6,2,3,5, , ,10,6,6,4, , , , ,3,6,5,1,7,1,2,1.510543
3,98124964,16077,2147,7,6,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,2, , , , , ,2, , , , ,13,0,6,3,4, , , ,9,7,5,4, , , , ,11,5,13,2,6,1,1,.586019
4,96123708,18550,2495,7,6,1,1,12, , , , , , , , , ,1,3, ,2,6,2,1,2, , , ,1,2,3,4,5,6,2, , , , ,7,3,8,2,5, , , ,1,5,5,4, , , , ,5,5,11,2,5,3,2,1.660925
1,96207457,172,479,8,7,1,1,12, , , , , , , , , ,1,1,2, ,9,4, , , , , ,1,1,2,3,4,5,2, , , , ,13,0,12,2, , , , ,88,4,4,4, , , , ,6,4,6,2,8,6,1,1.246221
2,96251137,9295,1185,7,6,1,2,12, , , , , , , , , ,1,3, ,2,7,1,2,3, , , ,2, , , , , ,2, , , , ,12,8,1, , , , , ,11,8,4,4, , , , ,10,4,13,2,8,12,2,.489911
1,96251137,3421,695,6,5,1,2,12, , , , , , , , , ,1,3, ,2,7,1,2,4, , , ,2, , , , , ,2, , , , ,11,8,1, , , , , ,12,11,4,4, , , , ,10,4,13,2,8,12,2,.513441
4,99210015,22687,3062,5,4,1,1,13, , , , , , , , , ,1,3, ,2,7,1,1,5, , , ,2, , , , , ,2, , , , ,10,6,1, , , , , ,9,9,4,4, , , , ,7,5,3,2,9,9,2,.512391
4,99220309,23178,3126,5,4,1,1,13, , , , , , , , , ,1,1,5, ,7,1,2,3, , , ,2, , , , , ,2, , , , ,7,6,2,3,5, , , ,1,1,4,4, , , , ,5,5,9,1,6,12,1,1.410534
3,98112629,15467,2060,6,5,1,1,9, , , , , , , , , ,1,3, ,2,7,1,2, , , , ,2, , , , , ,2, , , , ,6,5,1, , , , , ,9,1,4,4, , , , ,9,3,11,2,4,2,2,.551403
1,96122948,5048,147,5,4,1,1,12, , , , , , , , , ,1,2, , ,5,2,2,3, , , ,1,7, , , , ,2, , , , ,6,4,1, , , , , ,11,8,4,4, , , , ,6,5,1,2,10,1,1,.976438
1,96239826,413,655,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,1,2, , , , ,2, , , , , ,2, , , , ,8,8,2,1, , , , ,1,9,4,4, , , , ,6,6,3,2,6,6,1,.977277
4,99102201,20636,2785,6,5,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,1,2,4, , ,2, , , , ,6,0,1, , , , , ,1,7,4,4, , , , ,5,5,6,2,8,1,2,1.669582
4,99201609,22248,2999,15,14,1,1,2, , , , , , , , , ,1,3, ,2,3,2,3,4,6, , ,2, , , , , ,2, , , , ,15,11,13,1,2,3,5, ,11,12,4,4, , , , ,7,3,6,1,7,14,2,.722733
1,96227110,1879,589,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,1,1, , , , ,2, , , , , ,2, , , , ,12,9,7,2,3,5, , ,6,8,4,4, , , , ,8,3,11,2,1,5,2,.627913
1,96145771,1009,276,5,4,1,2,12, , , , , , , , , ,1,2, , ,3,1,4, , , , ,2, , , , , ,2, , , , ,11,10,4,1, , , , ,1,3,4,4, , , , ,7,5,11,2,7,2,2,.493083
4,96235619,20106,2721,6,5,1,1,13, , , , , , , , , ,1,2, , ,3,4, , , , , ,1,2,3,4,6, ,2, , , , ,8,0,1, , , , , ,8,3,4,4, , , , ,6,5,5,1,7,6,2,1.310447
2,97202897,10792,1394,7,6,1,1,12, , , , , , , , , ,3, , , , ,4, , , , , ,1,2,6, , , ,2, , , , ,16,0,3,1,2,3,4,5,8,11,4,4, , , , ,4,5,5,1,7,4,2,1.065184
1,96103123,5039,18,6,5,1,1,12, , , , , , , , , ,2, , , , ,1,2,3,4,5, ,2, , , , , ,2, , , , ,15,12,14,1,2,3,4,5,11,11,4,4, , , , ,8,6,2,2,10,1,1,1.016637
1,96253495,770,708,6,5,1,1,15, , , , , , , , , ,2, , , , ,1,6, , , , ,2, , , , , ,2, , , , ,12,12,4,1,2,3,5, ,1,8,4,4, , , , ,2,3,14,1,1,6,2,2.675082
3,98215018,17095,2286,8,7,1,1,12, , , , , , , , , ,1,3, ,2,11,4, , , , , ,2, , , , , ,2, , , , ,8,0,1, , , , , ,4,5,3,4, , , , ,6,4,11,2,10,6,2,.954229
3,96174185,13484,1797,5,4,1,1,12, , , , , , , , , ,1,3, ,2,10,3,6, , , , ,2, , , , , ,2, , , , ,12,8,6,4, , , , ,8,4,3,4, , , , ,6,6,1,2,9,2,1,1.043954
2,96166873,7730,988,5,4,1,2,12, , , , , , , , , ,1,3, ,2,8,2,4, , , , ,2, , , , , ,2, , , , ,15,10,1, , , , , ,7,7,3,4, , , , ,5,5,5,2,6,10,2,1.057441
1,96168972,955,386,21,20,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,6,7, , , ,2, , , , ,11,0,1, , , , , ,9,10,3,4, , , , ,5,6,3,2,8,2,2,1.661028
1,96111715,2535,79,4,3,1,1,12, , , , , , , , , ,1,3, ,2,4,2,3, , , , ,2, , , , , ,2, , , , ,10,3,3,4, , , , ,1,7,3,4, , , , ,3,5,14,1,4,4,1,2.132986
1,96125787,1074,163,6,5,1,1,2, , , , , , , , , ,1,2, , ,3,3,3,4, , , ,2, , , , , ,2, , , , ,5,88,4,4, , , , ,4,7,3,4, , , , ,7,4,4,1,7,2,1,1.019803
1,96201424,4899,441,5,4,1,1,4, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,1,6, , , , ,2, , , , ,10,7,1, , , , , ,8,1,3,4, , , , ,5,5,4,2,9,7,2,.867417
1,96256030,4022,720,5,4,1,2,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4,6, ,2, , , , ,8,0,1, , , , , ,6,8,3,4, , , , ,5,5,3,2,9,9,2,.853002
4,99229515,23654,3192,4,3,1,1,12, , , , , , , , , ,1,2, , ,7,1,3,5, , , ,1,1,6, , , ,2, , , , ,6,5,4,2,5, , , ,8,1,2,4, , , , ,4,5,5,1,7,8,2,2.487852
1,96147146,861,284,5,4,1,1,12, , , , , , , , , ,1,1,2, ,4,4, , , , , ,1,2,3,4, , ,2, , , , ,6,0,1, , , , , ,7,5,2,4, , , , ,6,6,4,2,9,2,2,.612507
2,97120840,10556,1360,6,5,1,1,13, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,1,2,3,4,6,2, , , , ,6,0,1, , , , , ,7,4,2,4, , , , ,3,5,14,1,2,3,2,1.395229
4,99205292,22440,3021,5,4,1,1,9, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,2, , , , , ,2, , , , ,8,5,4,1,2, , , ,7,9,2,4, , , , ,7,3,8,2,8,6,1,.696269
3,98216207,17180,2300,4,3,1,1,15, , , , , , , , , ,2, , , , ,4, , , , , ,1,2,4,6, , ,2, , , , ,13,0,1, , , , , ,8,7,2,4, , , , ,8,6,4,2,9,19,1,1.194996
1,96144812,1366,266,8,7,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4,5,7,2, , , , ,10,0,1, , , , , ,8,7,88,3, , , , ,10,2,11,2,2,2,2,.514578
1,96255241,3475,716,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2, , , , ,10,0,1, , , , , ,9,11,10,3, , , , ,6,5,6,2,6,12,2,.779341
1,96244445,4055,672,7,6,1,1,2,12, , , , , , , , ,1,1,2, ,3,2,2, , , , ,2, , , , , ,2, , , , ,5,2,11,4, , , , ,1,7,10,3, , , , ,6,4,5,2,7,9,1,1.228776
4,99226412,23472,3161,5,4,1,2,9, , , , , , , , , ,1,3, ,2,7,1,3, , , , ,2, , , , , ,1,1, , , ,6,88,1, , , , , ,1,11,9,3, , , , ,11,5,13,2,4,5,2,.443323
1,96123336,1142,150,7,6,1,2,2, , , , , , , , , ,1,3, ,2,3,2,1,2,3, , ,2, , , , , ,2, , , , ,8,7,1, , , , , ,11,1,9,3, , , , ,8,4,5,2,6,2,2,.628778
4,96235237,20094,2718,5,4,1,2,13, , , , , , , , , ,1,3, ,2,5,1,3, , , , ,2, , , , , ,2, , , , ,7,3,1, , , , , ,7,8,8,3, , , , ,6,4,4,1,6,6,2,1.025554
1,96257824,2712,722,3,2,1,1,1, , , , , , , , , ,1,1,1, ,11,4, , , , , ,2, , , , , ,2, , , , ,4,0,3,4, , , , ,9,6,7,3, , , , ,7,5,3,2,9,19,2,1.128087
2,96140306,7112,901,10,9,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4, , ,2, , , , ,15,0,8,1,2,3,5, ,11,6,7,3, , , , ,9,3,11,2,5,1,2,.45997
1,96101071,1988,6,13,12,1,2,64, , , , , , , , , ,1,2, , ,3,1,4,6, , , ,2, , , , , ,2, , , , ,17,15,1, , , , , ,1,1,7,3, , , , ,9,5,2,2,10,4,1,.796768
2,97201941,10750,1391,9,8,1,1,18, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2, , , , ,12,0,3,1,5, , , ,8,10,7,3, , , , ,5,5,4,1,8,4,1,2.089121
4,96111667,18356,2466,8,7,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,6,7, ,2, , , , ,12,0,6,2,3,5, , ,9,3,7,3, , , , ,9,4,13,2,7,3,1,.557755
1,96126541,2539,167,5,4,1,1,12, , , , , , , , , ,1,1,2, ,3,4, , , , , ,2, , , , , ,2, , , , ,11,0,1, , , , , ,1,10,7,3, , , , ,4,5,3,1,4,4,2,.660791
2,97104245,9729,1246,5,4,1,1,12, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,2, , , , , ,2, , , , ,13,8,1, , , , , ,1,10,7,3, , , , ,6,5,2,1,7,10,2,.663926
2,96178000,7934,1017,7,6,1,1,12, , , , , , , , , ,3, , , , ,3,2, , , , ,1,6, , , , ,2, , , , ,11,4,1, , , , , ,5,10,7,3, , , , ,11,6,13,2,2,2,2,.579901
2,97229049,12013,1557,5,4,1,1,12, , , , , , , , , ,1,3, ,2,9,1,5, , , , ,1,6, , , , ,2, , , , ,13,9,10,1,5, , , ,8,9,6,3, , , , ,5,5,4,2,7,7,2,1.135074
4,99219087,23110,3115,10,9,1,1,23,24, , , , , , , , ,1,3, ,2,7,1,1,3,4, , ,2, , , , , ,2, , , , ,18,16,4,1,2, , , ,9,9,6,3, , , , ,10,5,13,2,5,6,2,.608063
3,96155705,13178,1747,7,6,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4,6,7,2, , , , ,10,0,1, , , , , ,9,7,6,3, , , , ,6,4,5,2,9,1,1,1.485455
2,96121247,6627,828,5,4,1,1,13, , , , , , , , , ,1,3, ,2,5,1,3, , , , ,2, , , , , ,2, , , , ,7,5,5,2,3, , , ,4,4,6,3, , , , ,7,5,4,2,6,1,2,.544483
2,96125277,6754,843,12,11,1,1,21,23,24,25, , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,5,6,2, , , , ,22,0,4,3, , , , ,8,8,6,3, , , , ,4,5,5,2,9,3,2,.984172
4,96178874,19407,2625,6,5,1,2,9, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,2, , , , , ,2, , , , ,10,7,7,1,2,3, , ,9,4,6,3, , , , ,6,4,5,1,6,2,2,1.303096
2,96259301,9458,1200,5,4,1,1,12, , , , , , , , , ,1,1,4, ,4,4, , , , , ,1,2,4, , , ,2, , , , ,5,0,1, , , , , ,1,11,5,3, , , , ,6,5,3,2,10,20,1,1.161582
2,97208235,11075,1428,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,6,7, ,2, , , , ,9,0,1, , , , , ,9,9,5,3, , , , ,5,6,4,2,8,4,2,1.469994
4,96232002,20028,2714,5,4,1,1,12, , , , , , , , , ,1,2, , ,2,1,6, , , , ,2, , , , , ,2, , , , ,13,11,6,2,3,5, , ,7,6,5,3, , , , ,8,4,11,2,6,6,2,.545895
1,96149085,5717,293,14,13,1,1,17, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,1,6, , , ,2, , , , ,20,0,3,2,3,5, , ,10,10,4,3, , , , ,3,6,3,1,5,1,2,1.520523
4,99120513,21556,2912,10,9,1,1,21,22, , , , , , , , ,1,3, ,2,9,1,1, , , , ,2, , , , , ,2, , , , ,21,18,8,1, , , , ,11,4,9,2, , , , ,10,2,6,1,8,2,2,.604652
2,96213832,8311,1073,5,4,1,1,12, , , , , , , , , ,1,3, ,2,6,1,2,3, , , ,1,1,6, , , ,2, , , , ,11,10,1, , , , , ,1,8,8,2, , , , ,11,5,11,2,3,5,2,.430239
2,96238474,8998,1155,4,3,1,1,12, , , , , , , , , ,1,1,3, ,6,4, , , , , ,1,2,3,4,6, ,2, , , , ,22,0,11,1,5, , , ,8,9,7,2, , , , ,6,5,3,2,7,6,2,1.171637
2,96239132,9013,1159,8,7,1,1,12, , , , , , , , , ,1,3, ,2,6,3,2, , , , ,2, , , , , ,2, , , , ,10,3,4,4, , , , ,8,10,7,2, , , , ,11,3,13,2,8,19,2,.569523
2,96239785,9028,1160,12,11,1,2,9, , , , , , , , , ,3, , , , ,2,4, , , , ,1,4, , , , ,2, , , , ,11,3,5,3,4, , , ,1,11,7,2, , , , ,6,2,8,2,8,5,1,1.345505
2,96100830,6071,739,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,1,4, , , , ,2, , , , , ,2, , , , ,8,7,3,3, , , , ,1,1,6,2, , , , ,10,5,13,2,7,1,1,.526279
2,96169496,7774,995,5,4,1,1,13, , , , , , , , , ,1,2, , ,1,4, , , , , ,1,2,4, , , ,2, , , , ,8,0,1, , , , , ,1,3,5,2, , , , ,6,5,5,2,8,1,2,.720337
2,97218668,11592,1495,5,4,1,1,9, , , , , , , , , ,1,3, ,2,12,1,6, , , , ,2, , , , , ,2, , , , ,7,7,1, , , , , ,1,1,4,2, , , , ,11,5,13,3,5,13,1,.4667
1,96244961,3295,673,8,7,1,1,12, , , , , , , , , ,1,3, ,2,6,4, , , , , ,1,2,3,4,5,6,2, , , , ,8,0,7,1,5, , , ,9,10,4,2, , , , ,5,5,1,2,8,13,2,1.104161
4,99237160,24012,3243,11,10,1,1,12, , , , , , , , , ,1,3, ,2,5,4, , , , , ,1,2,3,4, , ,2, , , , ,10,0,3,1,3, , , ,5,7,4,2, , , , ,4,6,12,1,2,8,2,1.811517
4,96215024,19693,2668,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,3,4, , , , ,1,1,2, , , ,2, , , , ,7,88,1, , , , , ,3,11,4,2, , , , ,5,5,5,1,6,5,2,1.304733
2,96223266,8570,1100,3,2,1,1,2, , , , , , , , , ,3, , , , ,4, , , , , ,2, , , , , ,2, , , , ,2,0,12,2, , , , ,3,3,4,2, , , , ,10,2,8,2,3,6,1,.97358
1,96131836,4694,196,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2, , , , ,12,0,1, , , , , ,10,7,3,2, , , , ,8,6,3,2,5,3,2,.626503
